file,track,model,tp,rate,ctx,variant,date,backend,duration_s,completed,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,p99_e2el_ms
track4_llama4_maverick_tp8_rate10.json,T4,llama4_maverick,8,10,,,20260509-160401,,58.234622875999776,400,6.868766040637518,1417.146637589231,2780.442149419864,78.46697809500711,76.67939749990182,129.4685121315706,44.01136179548932,46.53375429287469,57.532319825987265,44.56932547394873,47.73697400014498,58.99216085996159,9229.329350939974,6855.506738000258,31250.540741760273
track4_llama4_maverick_tp8_rate25.json,T4,llama4_maverick,8,25,,,20260509-160504,,45.77555818700057,400,8.738287764093126,1804.3690404075896,3538.722550105383,123.47940840497813,101.00882850019843,1205.2746619509342,63.26831454077515,65.02430943869098,121.53470910235912,62.19058649931883,63.743587999852025,82.33390644991232,12903.022891797485,11292.774239500432,38758.17917186999
track4_llama4_maverick_tp8_rate5.json,T4,llama4_maverick,8,5,,,20260509-160246,,91.54777800899865,400,4.369303206470857,907.624431822175,1774.8328089844945,70.77803130003758,55.85878350029816,201.88326642026365,30.279125048746,29.69245057242445,44.67461327671116,30.254157594841075,26.885758999924292,115.36186140129276,6325.144280585059,4635.560886500571,23175.892128340452
track4_llama4_scout_tp4_rate1.json,T4,llama4_scout,4,1,,,20260509-152446,,205.57002198999908,200,0.9729045026308843,187.1284520360243,392.9609931351273,57.65357029996267,53.9496945002611,107.5926100003743,18.528985679902902,18.684478366197602,21.47316569267354,18.455416310990774,17.16156400016189,37.2218237002744,3588.9127856949654,2378.700373999891,14914.953207889575
track4_llama4_scout_tp4_rate10.json,T4,llama4_scout,4,10,,,20260509-152758,,59.90130991600017,400,6.677650297813545,1341.473168327763,2666.836505312051,101.93166249248861,97.10784849994525,182.6525484082049,49.253002569172025,50.90436381794858,60.92989789185537,48.61860461612634,48.15389900068112,100.57917150052162,9820.304424357491,7975.653614499606,34383.380771741424
track4_llama4_scout_tp4_rate25.json,T4,llama4_scout,4,25,,,20260509-152902,,44.985821005000616,400,8.891690560799947,1794.0097167733995,3558.810230054571,150.50626252997517,138.35033700070198,469.42307311008324,68.04558919998112,65.29311955993762,128.49952025089178,60.87302309265913,53.75733500113711,152.76165200062678,12371.526439817435,11680.7170029997,37702.11508551085
track4_llama4_scout_tp4_rate5.json,T4,llama4_scout,4,5,,,20260509-152640,,93.51836277000075,400,4.277234846206202,853.6612236929494,1702.596102880841,67.26563704997261,64.37255600030767,125.38297091830825,33.50655217172461,33.42665992000548,41.24686681326542,33.375401941976115,32.610456000838894,72.17432879988337,6695.036268817462,5200.1359220003,24774.717306580118
track4_llama4_scout_tp4_rate50.json,T4,llama4_scout,4,50,,,20260509-153058,,96.41280590099996,1354,14.043777559905626,2446.3555208857765,5546.120092688373,17642.565409623327,17529.890977499235,41110.977244370355,88.50319372372974,88.50567161025599,150.39599149255884,82.73835642273112,71.39685299989651,181.8477675011309,31972.433097795398,32167.799183500392,70614.5403704211
track4_llama4_scout_tp8_rate1.json,T4,llama4_scout,8,1,,,20260509-153741,,204.46064660699994,200,0.9781833488203043,193.61672114874693,400.56608134191464,47.40439310995498,42.49619799975335,87.52479423059411,14.754069654688704,14.60413009503194,16.66817571340218,14.719753008200655,14.106856000580592,22.78313466085819,2946.238793464954,1989.1461334991618,11393.867368950123
track4_llama4_scout_tp8_rate10.json,T4,llama4_scout,8,10,,,20260509-154039,,53.050495411000156,400,7.539986137755444,1500.6457410667774,2997.1633397231335,54.1595802724396,53.380525499051146,77.71920903089266,28.739551690484024,29.68619910389248,33.83883314226351,28.651907821423936,29.17479949974222,36.55516151113262,5727.953512304925,4241.5440605000185,21601.33740330977
